time,lux_level,mean_30min,var_30min,max_30min,min_30min,mean_1d,var_1d,max_1d,min_1d,mean_2d,var_2d,max_2d,min_2d,mean_3d,var_3d,max_3d,min_3d,mean_7d,var_7d,max_7d,min_7d
2022-05-09 21:22:18,417.92,417.92,,417.92,417.92,417.92,,417.92,417.92,417.92,,417.92,417.92,417.92,,417.92,417.92,417.92,,417.92,417.92
2022-05-09 21:24:48,422.5,420.21000000000004,10.488199999999797,422.5,417.92,420.21000000000004,10.488199999999797,422.5,417.92,420.21000000000004,10.488199999999797,422.5,417.92,420.21000000000004,10.488199999999797,422.5,417.92,420.21000000000004,10.488199999999797,422.5,417.92
2022-05-09 21:32:18,2.92,281.11333333333334,58048.89213333334,422.5,2.92,281.11333333333334,58048.89213333334,422.5,2.92,281.11333333333334,58048.89213333334,422.5,2.92,281.11333333333334,58048.89213333334,422.5,2.92,281.11333333333334,58048.89213333334,422.5,2.92
2022-05-09 21:37:18,3.33,211.66750000000002,57990.156491666676,422.5,2.92,211.66750000000002,57990.156491666676,422.5,2.92,211.66750000000002,57990.156491666676,422.5,2.92,211.66750000000002,57990.156491666676,422.5,2.92,211.66750000000002,57990.156491666676,422.5,2.92
2022-05-09 21:42:18,2.92,169.918,52207.72112000001,422.5,2.92,169.918,52207.72112000001,422.5,2.92,169.918,52207.72112000001,422.5,2.92,169.918,52207.72112000001,422.5,2.92,169.918,52207.72112000001,422.5,2.92
2022-05-09 21:49:48,2.92,142.085,46414.23223000001,422.5,2.92,142.085,46414.23223000001,422.5,2.92,142.085,46414.23223000001,422.5,2.92,142.085,46414.23223000001,422.5,2.92,142.085,46414.23223000001,422.5,2.92
2022-05-09 21:57:18,2.92,3.002,0.033620000009127786,3.33,2.92,122.20428571428572,41445.22646190477,422.5,2.92,122.20428571428572,41445.22646190477,422.5,2.92,122.20428571428572,41445.22646190477,422.5,2.92,122.20428571428572,41445.22646190477,422.5,2.92
2022-05-09 22:02:18,2.92,3.002,0.033620000009127786,3.33,2.92,107.29375,37303.07242678572,422.5,2.92,107.29375,37303.07242678572,422.5,2.92,107.29375,37303.07242678572,422.5,2.92,107.29375,37303.07242678572,422.5,2.92
2022-05-09 22:07:18,2.92,2.92,0.0,2.92,2.92,95.69666666666666,33850.619450000006,422.5,2.92,95.69666666666666,33850.619450000006,422.5,2.92,95.69666666666666,33850.619450000006,422.5,2.92,95.69666666666666,33850.619450000006,422.5,2.92
2022-05-09 22:09:48,2.92,2.92,0.0,2.92,2.92,86.41900000000001,30950.190498888893,422.5,2.92,86.41900000000001,30950.190498888893,422.5,2.92,86.41900000000001,30950.190498888893,422.5,2.92,86.41900000000001,30950.190498888893,422.5,2.92
2022-05-09 22:14:48,2.92,2.92,0.0,2.92,2.92,78.82818181818182,28488.99717636364,422.5,2.92,78.82818181818182,28488.99717636364,422.5,2.92,78.82818181818182,28488.99717636364,422.5,2.92,78.82818181818182,28488.99717636364,422.5,2.92
2022-05-09 22:19:48,3.33,2.9883333333333333,0.028016666673969383,3.33,2.92,72.53666666666668,26374.0862969697,422.5,2.92,72.53666666666668,26374.0862969697,422.5,2.92,72.53666666666668,26374.0862969697,422.5,2.92,72.53666666666668,26374.0862969697,422.5,2.92
2022-05-09 22:24:48,2.92,2.9785714285714286,0.02401428572037159,3.33,2.92,67.18153846153847,24549.051947435903,422.5,2.92,67.18153846153847,24549.051947435903,422.5,2.92,67.18153846153847,24549.051947435903,422.5,2.92,67.18153846153847,24549.051947435903,422.5,2.92
2022-05-09 22:32:18,3.33,3.0566666666666666,0.04482666667396705,3.33,2.92,62.62071428571429,22951.878976373635,422.5,2.92,62.62071428571429,22951.878976373635,422.5,2.92,62.62071428571429,22951.878976373635,422.5,2.92,62.62071428571429,22951.878976373635,422.5,2.92
2022-05-09 22:37:18,3.33,3.125,0.05043000000729807,3.33,2.92,58.668,21546.818302857148,422.5,2.92,58.668,21546.818302857148,422.5,2.92,58.668,21546.818302857148,422.5,2.92,58.668,21546.818302857148,422.5,2.92
2022-05-09 22:42:18,2.92,3.125,0.05043000000729807,3.33,2.92,55.18375,20304.60371833334,422.5,2.92,55.18375,20304.60371833334,422.5,2.92,55.18375,20304.60371833334,422.5,2.92,55.18375,20304.60371833334,422.5,2.92
2022-05-09 22:49:48,2.92,3.084,0.05043000000912432,3.33,2.92,52.10941176470588,19196.242430882357,422.5,2.92,52.10941176470588,19196.242430882357,422.5,2.92,52.10941176470588,19196.242430882357,422.5,2.92,52.10941176470588,19196.242430882357,422.5,2.92
2022-05-09 22:54:48,2.92,3.084,0.05043000000912432,3.33,2.92,49.376666666666665,18201.473823529413,422.5,2.92,49.376666666666665,18201.473823529413,422.5,2.92,49.376666666666665,18201.473823529413,422.5,2.92,49.376666666666665,18201.473823529413,422.5,2.92
2022-05-09 22:59:48,2.92,3.0566666666666666,0.04482666667396706,3.33,2.92,46.93157894736842,17303.871458479538,422.5,2.92,46.93157894736842,17303.871458479538,422.5,2.92,46.93157894736842,17303.871458479538,422.5,2.92,46.93157894736842,17303.871458479538,422.5,2.92
2022-05-09 23:04:48,3.33,3.0566666666666666,0.04482666667396705,3.33,2.92,44.7515,16488.196266052633,422.5,2.92,44.7515,16488.196266052633,422.5,2.92,44.7515,16488.196266052633,422.5,2.92,44.7515,16488.196266052633,422.5,2.92
