time,pressure_level,mean_30min,var_30min,max_30min,min_30min,mean_1d,var_1d,max_1d,min_1d,mean_2d,var_2d,max_2d,min_2d,mean_3d,var_3d,max_3d,min_3d,mean_7d,var_7d,max_7d,min_7d
2022-05-09 21:22:18,748.06,748.06,,748.06,748.06,748.06,,748.06,748.06,748.06,,748.06,748.06,748.06,,748.06,748.06,748.06,,748.06,748.06
2022-05-09 21:24:48,748.08,748.0699999999999,0.0002000000000030468,748.08,748.06,748.0699999999999,0.0002000000000030468,748.08,748.06,748.0699999999999,0.0002000000000030468,748.08,748.06,748.0699999999999,0.0002000000000030468,748.08,748.06,748.0699999999999,0.0002000000000030468,748.08,748.06
2022-05-09 21:27:18,748.1,748.0799999999999,0.0004000000000038199,748.1,748.06,748.0799999999999,0.0004000000000038199,748.1,748.06,748.0799999999999,0.0004000000000038199,748.1,748.06,748.0799999999999,0.0004000000000038199,748.1,748.06,748.0799999999999,0.0004000000000038199,748.1,748.06
2022-05-09 21:32:18,748.03,748.0675,0.0008916666666671289,748.1,748.03,748.0675,0.0008916666666671289,748.1,748.03,748.0675,0.0008916666666671289,748.1,748.03,748.0675,0.0008916666666671289,748.1,748.03,748.0675,0.0008916666666671289,748.1,748.03
2022-05-09 21:37:18,748.0,748.054,0.001579999999996387,748.1,748.0,748.054,0.001579999999996387,748.1,748.0,748.054,0.001579999999996387,748.1,748.0,748.054,0.001579999999996387,748.1,748.0,748.054,0.001579999999996387,748.1,748.0
2022-05-09 21:42:18,747.89,748.0266666666666,0.005746666666656244,748.1,747.89,748.0266666666666,0.005746666666656244,748.1,747.89,748.0266666666666,0.005746666666656244,748.1,747.89,748.0266666666666,0.005746666666656244,748.1,747.89,748.0266666666666,0.005746666666656244,748.1,747.89
2022-05-09 21:44:48,747.82,747.9971428571428,0.010890476190456966,748.1,747.82,747.9971428571428,0.010890476190456966,748.1,747.82,747.9971428571428,0.010890476190456966,748.1,747.82,747.9971428571428,0.010890476190456966,748.1,747.82,747.9971428571428,0.010890476190456966,748.1,747.82
2022-05-09 21:49:48,747.86,747.98,0.01168571428569381,748.1,747.82,747.98,0.01168571428569381,748.1,747.82,747.98,0.01168571428569381,748.1,747.82,747.98,0.01168571428569381,748.1,747.82,747.98,0.01168571428569381,748.1,747.82
2022-05-09 21:57:18,747.88,747.9133333333334,0.006866666666606557,748.03,747.82,747.968888888889,0.011336111111091647,748.1,747.82,747.968888888889,0.011336111111091647,748.1,747.82,747.968888888889,0.011336111111091647,748.1,747.82,747.968888888889,0.011336111111091647,748.1,747.82
2022-05-09 22:02:18,748.01,747.91,0.005999999999938587,748.01,747.82,747.973,0.01024555555553857,748.1,747.82,747.973,0.01024555555553857,748.1,747.82,747.973,0.01024555555553857,748.1,747.82,747.973,0.01024555555553857,748.1,747.82
2022-05-09 22:09:48,748.09,747.9250000000001,0.010589999999950427,748.09,747.82,747.9836363636364,0.01046545454544026,748.1,747.82,747.9836363636364,0.01046545454544026,748.1,747.82,747.9836363636364,0.01046545454544026,748.1,747.82,747.9836363636364,0.01046545454544026,748.1,747.82
2022-05-09 22:14:48,748.19,748.0060000000001,0.019530000000015833,748.19,747.86,748.0008333333334,0.013062878787866454,748.19,747.82,748.0008333333334,0.013062878787866454,748.19,747.82,748.0008333333334,0.013062878787866454,748.19,747.82,748.0008333333334,0.013062878787866454,748.19,747.82
2022-05-09 22:19:48,748.21,748.076,0.01848000000008047,748.21,747.88,748.016923076923,0.015339743589731345,748.21,747.82,748.016923076923,0.015339743589731345,748.21,747.82,748.016923076923,0.015339743589731345,748.21,747.82,748.016923076923,0.015339743589731345,748.21,747.82
2022-05-09 22:24:48,748.24,748.1033333333334,0.019266666666750858,748.24,747.88,748.0328571428572,0.017714285714272405,748.24,747.82,748.0328571428572,0.017714285714272405,748.24,747.82,748.0328571428572,0.017714285714272405,748.24,747.82,748.0328571428572,0.017714285714272405,748.24,747.82
2022-05-09 22:27:18,748.23,748.1616666666667,0.008416666666799416,748.24,748.01,748.046,0.019039999999986557,748.24,747.82,748.046,0.019039999999986557,748.24,747.82,748.046,0.019039999999986557,748.24,747.82,748.046,0.019039999999986557,748.24,747.82
2022-05-09 22:32:18,748.25,748.2016666666667,0.0034566666668351016,748.25,748.09,748.05875,0.02037166666665306,748.25,747.82,748.05875,0.02037166666665306,748.25,747.82,748.05875,0.02037166666665306,748.25,747.82,748.05875,0.02037166666665306,748.25,747.82
2022-05-09 22:37:18,748.23,748.2057142857144,0.002995238095381854,748.25,748.09,748.0688235294118,0.02082352941175146,748.25,747.82,748.0688235294118,0.02082352941175146,748.25,747.82,748.0688235294118,0.02082352941175146,748.25,747.82,748.0688235294118,0.02082352941175146,748.25,747.82
2022-05-09 22:42:18,748.18,748.2185714285714,0.0006809523811085102,748.25,748.18,748.075,0.020285294117633343,748.25,747.82,748.075,0.020285294117633343,748.25,747.82,748.075,0.020285294117633343,748.25,747.82,748.075,0.020285294117633343,748.25,747.82
2022-05-09 22:49:48,748.23,748.2266666666666,0.0005866666668634277,748.25,748.18,748.0831578947368,0.0204228070175301,748.25,747.82,748.0831578947368,0.0204228070175301,748.25,747.82,748.0831578947368,0.0204228070175301,748.25,747.82,748.0831578947368,0.0204228070175301,748.25,747.82
2022-05-09 22:54:48,748.25,748.2283333333334,0.0006566666668651194,748.25,748.18,748.0915,0.020739736842090545,748.25,747.82,748.0915,0.020739736842090545,748.25,747.82,748.0915,0.020739736842090545,748.25,747.82,748.0915,0.020739736842090545,748.25,747.82
