time,hum_level,mean_30min,var_30min,max_30min,min_30min,mean_1d,var_1d,max_1d,min_1d,mean_2d,var_2d,max_2d,min_2d,mean_3d,var_3d,max_3d,min_3d,mean_7d,var_7d,max_7d,min_7d
2022-05-27 23:43:27,42.82,42.79090909090909,0.0005090909073440542,42.83,42.76,44.03583177570094,3.6579913948685676,49.01,41.44,44.59911792014856,4.887676451695258,50.24,40.91,44.68553952321204,7.226093023232824,50.24,39.54,45.02431431705979,11.439061793084294,50.67,36.96
2022-05-27 23:45:57,42.79,42.79272727272727,0.0004618181800715753,42.83,42.76,44.02545794392523,3.6260974958871515,49.01,41.44,44.5986165273909,4.889221039615027,50.24,40.91,44.683199498117936,7.226230560300973,50.24,39.54,45.02273998902908,11.437057209193197,50.67,36.96
2022-05-27 23:48:27,42.78,42.79363636363637,0.0004254545437080726,42.83,42.76,44.015457943925234,3.5973529265987594,49.01,41.44,44.5980687093779,4.89089161980991,50.24,40.91,44.680884567126725,7.226494822824985,50.24,39.54,45.02116017553483,11.435040656366828,50.67,36.96
2022-05-27 23:50:57,42.78,42.7890909090909,0.0002890909073438517,42.82,42.76,44.005233644859814,3.5665272393153384,49.01,41.44,44.59750232126276,4.892606859892337,50.24,40.91,44.678550815558346,7.226680321647074,50.24,39.54,45.01957761930883,11.432999766675811,50.67,36.96
2022-05-27 23:53:27,42.76,42.78454545454545,0.0003072727255250827,42.82,42.76,43.99514018691588,3.5370029297490224,49.01,41.44,44.596898792943364,4.894433868000362,50.24,40.91,44.67622333751569,7.226970913051911,50.24,39.54,45.01798409215579,11.430939666139079,50.67,36.96
2022-05-27 23:55:57,42.78,42.78272727272727,0.0002818181800703126,42.82,42.76,43.98512149532711,3.507495444012733,49.01,41.44,44.596295264623954,4.89623598336971,50.24,40.91,44.67391468005019,7.227225343626075,50.24,39.54,45.0163933077345,11.428830307817917,50.67,36.96
2022-05-27 23:58:27,42.79,42.78333333333333,0.0002606060590171569,42.82,42.76,43.97508411214953,3.477429534110389,49.01,41.44,44.59568245125349,4.898046676020713,50.24,40.91,44.67159347553324,7.227377496906463,50.24,39.54,45.01480252331322,11.426684062501065,50.67,36.96
2022-05-28 00:00:57,42.79,42.785,0.00024545454386584324,42.82,42.76,43.96514018691588,3.447942630123548,49.01,41.44,44.59504178272981,4.899919631152172,50.24,40.91,44.6692973651192,7.227609298837906,50.24,39.54,45.01320899616017,11.424513101438826,50.67,36.96
2022-05-28 00:05:57,42.82,42.79,0.00029999999825306713,42.82,42.76,43.948614232209735,3.401230346213558,49.01,41.44,44.594391829155064,4.901773351903398,50.24,40.91,44.66586315128688,7.2301647224666015,50.24,39.54,45.01061179698217,11.421702122857392,50.67,36.96
2022-05-28 00:08:27,42.81,42.79181818181818,0.0003363636346169487,42.82,42.76,43.939662921348315,3.3787049518308305,49.01,41.44,44.59367688022284,4.903775687318102,50.24,40.91,44.66349026993094,7.229996981217986,50.24,39.54,45.008995884773654,11.419293118808419,50.67,36.96
