time,ph_level,mean_30min,var_30min,max_30min,min_30min,mean_1d,var_1d,max_1d,min_1d,mean_2d,var_2d,max_2d,min_2d,mean_3d,var_3d,max_3d,min_3d,mean_7d,var_7d,max_7d,min_7d
2022-05-17 15:17:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 15:18:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 15:19:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 15:25:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 15:26:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 15:27:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 15:32:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 15:33:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 15:37:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
2022-05-17 15:38:55,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05,13.05,0.0,13.05,13.05
